NN	section_label	volume	scan_filename	sub_page_url
01	Title, vol. 1	1	_images/skd_Page_01_Image_0002.png	skdpref/skdpref01.html
02	English Title	1	_images/skd_Page_03_Image_0002.png	skdpref/skdpref02.html
03	Publisher's Note	1	?	skdpref/skdpref03.html
04	1888 Title, vol. 1	1	?	skdpref/skdpref04.html
05	Preface, 1 (Sanskrit)	1	?	skdpref/skdpref05.html
06	Preface, 2	1	?	skdpref/skdpref06.html
07	Preface, 3	1	?	skdpref/skdpref07.html
08	Preface, 4	1	?	skdpref/skdpref08.html
09	Reviews, 1 (English)	1	?	skdpref/skdpref09.html
10	Reviews, 2	1	?	skdpref/skdpref10.html
11	Reviews, 3	1	?	skdpref/skdpref11.html
12	Reviews, 4	1	?	skdpref/skdpref12.html
13	Reviews, 5	1	?	skdpref/skdpref13.html
14	Reviews, 6	1	?	skdpref/skdpref14.html
15	Reviews, 7	1	?	skdpref/skdpref15.html
16	Reviews, 8	1	?	skdpref/skdpref16.html
17	Introduction, 1 (Sanskrit)	1	?	skdpref/skdpref17.html
18	Introduction, 2	1	?	skdpref/skdpref18.html
19	Introduction, 3	1	?	skdpref/skdpref19.html
20	Introduction, 4	1	?	skdpref/skdpref20.html
21	Introduction, 5	1	?	skdpref/skdpref21.html
22	Introduction, 6	1	?	skdpref/skdpref22.html
23	Introduction, 7	1	?	skdpref/skdpref23.html
24	Introduction, 8	1	?	skdpref/skdpref24.html
25	Introduction, 9	1	?	skdpref/skdpref25.html
26	Introduction, 10	1	?	skdpref/skdpref26.html
27	Introduction, 11	1	?	skdpref/skdpref27.html
28	Introduction, 12	1	?	skdpref/skdpref28.html
29	Introduction, 13	1	?	skdpref/skdpref29.html
30	Introduction, 14	1	?	skdpref/skdpref30.html
