vcp=अंश,4 skd=अंश,5
vcp=ॠ,10573 skd=ॠ,5431
vcp=एज,10768;एज,10769 skd=एज,5527;एज,5528
vcp=एठ,10774 skd=एठ,5529
vcp=एध,10793 skd=एध,5550
vcp=एला,10813 skd=एला,5571
vcp=एष्,10831 skd=एष,5577 (*)
vcp=ओख,10941 skd=ओख,5638
vcp=ओज,10948 skd=ओज,5642
vcp=ओण,10959 skd=ओण,5650
vcp=ओलज,10973 skd=ओलज,5660
vcp=ओलड,10974 skd=ओलड,5661
vcp=कक,11229;कक,11230 skd=कक,5755;कक,5756
vcp=कक्क,11253 skd=कक्क,5770
vcp=कक्ख,11258 skd=कक्ख,5773
vcp=कख,11282 skd=कख,5786
vcp=कग,11284 skd=कग,5788
vcp=कच,11318;कच,11319;कच,11320 skd=कच,5825;कच,5826;कच,5827
vcp=कज,11359 skd=कज,5865
vcp=कट,11383;कट,11384;कट,11385;कट,11386 skd=कट,5891;कट,5892;कट,5893
vcp=कठ,11477;कठ,11478;कठ,11479 skd=कठ,5983;कठ,5984;कठ,5985
vcp=कड,11495;कड,11496;कड,11497 skd=कड,6004;कड,6005;कड,6006
vcp=कड्ड,11508 skd=कड्ड,6016
vcp=कण,11509;कण,11510;कण,11511 skd=कण,6017;कण,6018;कण,6019
vcp=कण्डू,11601 skd=?
vcp=कत्थ,11630 skd=कत्थ,6126
vcp=कत्र,11632 skd=कत्र,6127
vcp=कथ,11634 skd=कथ,6129
vcp=कद,11657;कद,11658 skd=कद,6140;कद,6141
vcp=कद्ड,11690 skd=कद्ड,6169
vcp=कन,11700 skd=कन,6176
vcp=कप,11816;कप,11817 skd=कप,6268;कप,6269
vcp=कब,11950 skd=कब,6362
vcp=कम,11956;कम,11957 skd=कम,6368
vcp=कम्ब,11997 skd=कम्ब,6399
vcp=कर्क,12193 skd=कर्क,6555
vcp=? skd=कर्ज्ज,6605
vcp=कर्ण्ण,12238 skd=कर्ण्,6606 (*)
vcp=कर्त्त,12326 skd=कर्त्त,6662
vcp=कर्त्त्र,12332 skd=कर्त्र,6672 (*)
vcp=कर्द्द,12334 skd=कर्द्द,6674
vcp=कर्ब,12364 skd=कर्ब्ब,6700 (*)
vcp=कर्व,12438 skd=कर्व्व,6749 (*)
vcp=कल,12455;कल,12456;कल,12457 skd=कल,6772;कल,6773;कल,6774
vcp=कल्ल,12616 skd=कल्ल,6923
vcp=कव,12620 skd=कव,6927
vcp=कश,12669 skd=कश,6964
vcp=कष,12689 skd=कष,6982
vcp=कस,12708;कस,12709;कस,12710 skd=कस,7001;कस,7002;कस,7003
vcp=काक्ष,12824 skd=काक्ष,7110
vcp=काच,12836 skd=?
vcp=काल,13281 skd=काल,7441
vcp=काश,13477 skd=काश,7569
vcp=कास,13558 skd=कास,7624
vcp=कि,13581 skd=कि,7648
vcp=किट,13621 skd=किट,7682
vcp=किटकिटाय,13622 skd=?
vcp=कित,13632;कित,13633 skd=कित,7693;कित,7694
vcp=किरोडाट,13685 skd=?
vcp=किल,13691;किल,13692 skd=किल,7743;किल,7744
vcp=किष्क,13713 skd=किष्क,7763
vcp=कीट,13732 skd=कीट,7784
vcp=कील,13759 skd=कील,7811
vcp=कु,13770;कु,13771;कु,13772 skd=कु,7822;कु,7823;कु,7824
vcp=कुक,13775 skd=कुक्,7827 (*)
vcp=कुच,13812 skd=कुच,7865;कुच,7866;कुच,7867
vcp=कुज,13825 skd=कुज,7880
vcp=कुट,13854;कुट,13855;कुट,13856;कुट,13857 skd=कुट,7906;कुट,7907;कुट,7908
vcp=कुटुम्ब,13895 skd=कुटुम्ब,7936
vcp=कुट्ट,13900;कुट्ट,13901 skd=कुट्ट,7943;कुट्ट,7944
vcp=कुठ,13915;कुठ,13916 skd=कुठ,7956;कुठ,7957
vcp=कुड,13929;कुड,13930;कुड,13931;कुड,13932 skd=कुड,7971;कुड,7972;कुड,7973;कुड,7974
vcp=कुण,13942;कुण,13943 skd=कुण,7987;कुण,7988
vcp=कुत,13983 skd=कुत्,8017 (*)
vcp=कुत्स,13998 skd=कुत्स,8032
vcp=कुथ,14005;कुथ,14006 skd=कुथ,8038;कुथ,8039
vcp=कुद,14010 skd=?
vcp=कुद्र,14019 skd=कुद्र,8047
vcp=कुन्च,14037 skd=कुन्च,8059
vcp=कुन्थ,14049 skd=कुन्थ,8067
vcp=कुप,14060;कुप,14061;कुप,14062 skd=कुप,8080;कुप,8081;कुप,8082
vcp=कुब,14078 skd=कुब,8093
vcp=कुभ,14092 skd=?
vcp=कुमार,14097 skd=कुमार,8100
vcp=कुमाल,14119 skd=कुमाल,8112
vcp=कुर,14194 skd=कुर,8164
vcp=कुर्द्द,14247 skd=कुर्द्द,8212
vcp=कुल,14255 skd=कुल,8218
vcp=कुश,14399;कुश,14400 skd=कुश,8332;कुश,8333
vcp=कुष,14444 skd=कुष,8366
vcp=कुषुभ,14451 skd=?
vcp=कुस,14474 skd=कुस,8390;कुस,8391
vcp=कुस्म,14513 skd=कुस्म,8418
vcp=कुह,14514 skd=कुह,8419
vcp=कू,14534;कू,14535 skd=कू,8445;कू,8446
vcp=कूज,14540 skd=कूज,8451
vcp=कूट,14542;कूट,14543 skd=कूट,8453;कूट,8454
vcp=कूड,14560 skd=कूड,8472
vcp=कूण,14562;कूण,14563 skd=कूण,8474;कूण,8475
vcp=कूप,14568 skd=कूप,8480
vcp=कूर्द्द,14588 skd=कूर्द्द,8497
vcp=कूल,14600 skd=कूल,8507
vcp=कृ,14621;कृ,14622;कृ,14623 skd=कृ,8524;कृ,8525;कृ,8526
vcp=कृत,14640;कृत,14641;कृत,14642 skd=कृत्,8542;कृत्,8543 (*)
vcp=कृप,14737;कृप,14738;कृप,14739 skd=कृप,8604;कृप,8605;कृप,8606
vcp=कृव,14777 skd=कृव,8640
vcp=कृश,14779 skd=कृश,8642
vcp=कृष,14789;कृष,14790 skd=कृष,8653;कृष,8654
vcp=कॄ,14924;कॄ,14925;कॄ,14926 skd=कॄ,8760;कॄ,8761;कॄ,8762
vcp=कॄत,14927 skd=कॄत्,8763 (*)
vcp=कॢ,15703 skd=?
vcp=केत,14940 skd=केत,8779
vcp=केप,14972 skd=केप,8799
vcp=केल,14980 skd=केल,8806
vcp=केला,14982 skd=?
vcp=केव,15000 skd=केव,8821
vcp=कै,15081 skd=कै,8887
vcp=क्नथ,15429 skd=क्नथ,9159
vcp=क्नस,15430;क्नस,15431 skd=क्नस,9160;क्नस,9161
vcp=क्नूय,15432 skd=क्नूय,9162
vcp=क्मर,15433 skd=क्मर,9163
vcp=क्रंश,15436 skd=?
vcp=क्रथ,15463;क्रथ,15464 skd=क्रथ,9182;क्रथ,9183;क्रथ,9184;क्रथ,9185
vcp=क्रद,15468;क्रद,15469 skd=क्रद,9188;क्रद,9189
vcp=क्रन्द,15470 skd=क्रन्द,9190
vcp=क्रप,15473 skd=क्रप,9194
vcp=क्रम,15474 skd=क्रम,9195;क्रम,9196
vcp=क्री,15567 skd=क्री,9257
vcp=क्रीड,15569 skd=क्रीड,9258
vcp=क्रुड,15589 skd=?
vcp=क्रुथ,15590 skd=?
vcp=क्रुध,15591 skd=क्रुध,9273
vcp=क्रुन्च,15594 skd=क्रुन्च,9275
vcp=क्रुन्थ,15595 skd=क्रुन्थ,9276
vcp=क्रुश,15598 skd=क्रुश,9277
vcp=क्लथ,15673 skd=क्लथ,9337
vcp=क्लद,15674;क्लद,15675;क्लद,15676 skd=क्लद,9338;क्लद,9339;क्लद,9340
vcp=क्लप,15677 skd=?
vcp=क्लम,15678;क्लम,15679 skd=क्लम,9341;क्लम,9342
vcp=क्लव,15683 skd=क्लव,9345
vcp=क्लिद,15686;क्लिद,15687 skd=क्लिद,9347;क्लिद,9348
vcp=क्लिश,15691;क्लिश,15692 skd=क्लिश,9351;क्लिश,9352
vcp=क्लीब,15701 skd=?
vcp=? skd=क्लीव,9358
vcp=? skd=क्लेश,9366
vcp=क्वण,15718 skd=क्वण,9375
vcp=क्वथ,15721 skd=क्वथ,9379
vcp=क्वेल,15728 skd=क्वेल,9384
vcp=क्षज,15730;क्षज,15731;क्षज,15732 skd=क्षज,9387;क्षज,9388;क्षज,9389
vcp=क्षण,15733 skd=क्षण,9390
vcp=क्षद,15781 skd=क्षद,9425
vcp=क्षप,15785;क्षप,15786 skd=क्षप,9427;क्षप,9428
vcp=क्षम,15797;क्षम,15798 skd=क्षम,9437;क्षम,9438
vcp=क्षर,15822 skd=क्षर,9452
vcp=क्षल,15827 skd=क्षल,9457;क्षल,9458
vcp=क्षि,15873;क्षि,15874;क्षि,15875 skd=क्षि,9499;क्षि,9500;क्षि,9501
vcp=क्षिण,15877 skd=क्षिण,9503
vcp=क्षिप,15904;क्षिप,15905 skd=क्षिप,9526;क्षिप,9527
vcp=क्षिव,15924;क्षिव,15925 skd=क्षिव,9544;क्षिव,9545
vcp=क्षी,15926 skd=क्षी,9546
vcp=क्षीज,15927 skd=क्षीज,9547
vcp=क्षीब,15932 skd=क्षीब,9552
vcp=क्षीव,16003 skd=क्षीव,9615;क्षीव,9616
vcp=क्षु,16004 skd=क्षु,9618
vcp=क्षुद,16013;क्षुद,16014 skd=क्षुद,9630
vcp=क्षुध्,16091 skd=क्षुध,9713 (*)
vcp=क्षुप,16100 skd=क्षुप,9723
vcp=क्षुभ,16104 skd=क्षुभ,9729;क्षुभ,9730
vcp=क्षुम्प,16111 skd=?
vcp=क्षुर,16112 skd=क्षुर,9735
vcp=क्षेव,16182 skd=?
vcp=क्षै,16183 skd=क्षै,9825
vcp=क्ष्णु,16221 skd=क्ष्णु,9868
vcp=क्ष्माय,16229 skd=क्ष्माय,9878
vcp=क्ष्मील,16230 skd=क्ष्मील,9881
vcp=क्ष्विड,16231 skd=क्ष्विड,9882
vcp=क्ष्विद,16232;क्ष्विद,16233 skd=क्ष्विद,9884;क्ष्विद,9885;क्ष्विद,9886
vcp=क्ष्वेल,16236 skd=क्ष्वेल,9893
vcp=खक्ख,16243 skd=खक्ख,9900
vcp=खच,16264;खच,16265 skd=खच,9917;खच,9918
vcp=खज,16270;खज,16271 skd=खज,9922;खज,9923
vcp=खट,16294 skd=खट,9945
vcp=खट्ट,16302 skd=खट्ट,9952
vcp=खड,16317;खड,16318 skd=खड,9968;खड,9969
vcp=खद,16372 skd=खद,10017
vcp=खन,16389 skd=खन,10030
vcp=खम्ब,16405 skd=खम्ब,10045
vcp=खर्ज,16452 skd=खर्ज्ज,10091 (*)
vcp=खर्द्द,16461 skd=खर्द्द,10101
vcp=खर्ब,16465 skd=खर्ब्ब,10105 (*)
vcp=? skd=खर्व्व,10111
vcp=खल,16472 skd=खल,10116
vcp=खव,16508 skd=खव,10144
vcp=खष,16516 skd=खष,10152
vcp=खाद,16553 skd=खाद,10180
vcp=खिट,16582 skd=खिट,10203
vcp=खिद,16583;खिद,16584 skd=खिद,10204;खिद,10205
vcp=खु,16596 skd=खु,10212
vcp=खुज,16598 skd=खुज,10214
vcp=खुड,16600;खुड,16601;खुड,16602 skd=खुड,10216;खुड,10217;खुड,10218
vcp=खुद,16604 skd=?
vcp=खुर,16605 skd=खुर,10219
vcp=खुर्द्द,16615 skd=खुर्द्द,10229
vcp=? skd=खूर्द्द,10234
vcp=खेट,16624 skd=खेट,10239
vcp=खेड,16629 skd=खेड,10249
vcp=खेल,16634 skd=खेल,10253
vcp=खेला,16636 skd=?
vcp=खेव,16639 skd=खेव,10258
vcp=खै,16641 skd=खै,10260
vcp=खोट,16645;खोट,16646 skd=खोट,10262;खोट,10263
vcp=खोड,16648;खोड,16649 skd=खोड,10266;खोड,10267
vcp=खोर,16652 skd=खोर,10270
vcp=खोल,16654 skd=खोल,10272
vcp=ख्या,16659 skd=ख्या,10277
vcp=गग्घ,16693 skd=गग्घ,10290
vcp=गज,16719;गज,16720;गज,16721 skd=गज,10303;गज,10304
vcp=गड,16780;गड,16781 skd=गड,10352;गड,10353
vcp=गण,16796 skd=गण,10369
vcp=गद,16923;गद,16924 skd=गद,10448;गद,10449
vcp=गद्गद,16942 skd=?
vcp=गध,16948 skd=?
vcp=गन्ध,16955 skd=गन्ध,10473
vcp=गम,17098 skd=गम,10610
vcp=गम्ब,17105 skd=गम्ब,10617
vcp=गर्ज्ज,17165;गर्ज्ज,17166 skd=गर्ज्ज,10658;गर्ज्ज,10659
