vcp=aMSa,4 skd=aMSa,5
vcp=aMsa,24 skd=aMsa,21
vcp=aMha,32 skd=?
vcp=aka,41 skd=aka,32;aka,33;aka,34
vcp=akza,113 skd=akza,103;akza,104
vcp=aga,210 skd=aga,180;aga,181
vcp=agada,217 skd=?
vcp=aGa,437 skd=aGa,313;aGa,314
vcp=aNka,462 skd=aNka,325
vcp=aNga,499 skd=aNga,348
vcp=aca,604;aca,605;aca,606 skd=aca,432;aca,433;aca,434
vcp=aja,664;aja,665 skd=aja,460;aja,461
vcp=awa,784;awa,785 skd=?
vcp=awwa,791;awwa,792 skd=awwa,565
vcp=aWa,804;aWa,805 skd=aWa,578;aWa,579
vcp=aqa,806;aqa,807 skd=aqa,580;aqa,581
vcp=aqqa,808 skd=aqqa,582
vcp=aRa,809;aRa,810 skd=aRa,583;aRa,584
vcp=ata,834;ata,835;ata,836 skd=ata,607;ata,608;ata,609
vcp=? skd=atwaNa,706
vcp=ada,1112;ada,1113 skd=ada,751;ada,752
vcp=? skd=adwaNa,774
vcp=? skd=adqa,775
vcp=ana,1455;ana,1456 skd=ana,926;ana,927
vcp=anca,2184 skd=anca,1215;anca,1216
vcp=ancu,2185 skd=?
vcp=anja,2186 skd=anja,1217
vcp=andola,2361 skd=?
vcp=anDa,2362 skd=?
vcp=aba,3136 skd=aba,1597
vcp=aBra,3722 skd=aBra,1803
vcp=ama,3749;ama,3750 skd=ama,1827;ama,1828
vcp=amba,3918 skd=amba,1917
vcp=ambara,3923 skd=?
vcp=amBa,3980 skd=aBa,1638 (*)
vcp=aya,4043 skd=aya,2024
vcp=arka,4333 skd=arka,2149
vcp=arGa,4368 skd=arGa,2179
vcp=arca,4372;arca,4373 skd=arcca,2184;arcca,2185 (*)
vcp=arja,4388 skd=?
vcp=arjja,4389 skd=arjja,2195;arjja,2196
vcp=arTa,4412 skd=arTa,2217
vcp=ardda,4467;ardda,4468;ardda,4469 skd=arda,2233;arda,2234;arda,2235 (*)
vcp=arba,4545 skd=arbba,2269 (*)
vcp=arha,4578;arha,4579 skd=arha,2294;arha,2295
vcp=ala,4589 skd=ala,2303
vcp=avaDIra,4852 skd=avaDIra,2466
vcp=avara,4939 skd=?
vcp=aSa,5367 skd=aSa,2726;aSa,2727
vcp=aza,5610 skd=aza,2872
vcp=asa,5694;asa,5695;asa,5696 skd=asa,2906
vcp=asu,5899 skd=asu,2986
vcp=aha,6090;aha,6091;aha,6092 skd=aha,3093;aha,3094
vcp=ACa,6502 skd=ACa,3301
vcp=Andola,7014 skd=Andola,3499
vcp=Apa,7029 skd=Apa,3505
vcp=Asa,7853 skd=Asa,3912
vcp=i,8054 skd=i,4015;i,4016;i,4017
vcp=iKa,8097;iKa,8098 skd=iKa,4054;iKa,4055
vcp=iga,8099 skd=iga,4056
vcp=iN,8100 skd=?
vcp=iwa,8121 skd=iwa,4074
vcp=ida,8164 skd=ida,4100
vcp=ina,8180 skd=?
vcp=inDa,8335 skd=inDa,4194
vcp=inva,8339 skd=?
vcp=ila,8388;ila,8389 skd=ila,4224;ila,4225
vcp=iva,8400 skd=iva,4237
vcp=iza,8403;iza,8404;iza,8405;iza,8406 skd=iza,4240;iza,4241;iza,4242
vcp=izuDa,8419 skd=?
vcp=I,8486;I,8487;I,8488 skd=I,4274;I,4275
vcp=Ikza,8489 skd=Ikza,4280
vcp=IKa,8495 skd=IKa,4279
vcp=Iga,8496 skd=?
vcp=Ija,8497;Ija,8498 skd=Ija,4283;Ija,4284
vcp=Iqa,8500 skd=Iqa,4285;Iqa,4286
vcp=Ira,8515 skd=Ira,4294;Ira,4295
vcp=Irkzya,8521 skd=Irkzya,4299
vcp=Irzya,8528 skd=Irzya,4305
vcp=IS,8538 skd=ISa,4312 (*)
vcp=Iza,8558;Iza,8559 skd=Iza,4329;Iza,4330
vcp=Iha,8571 skd=Iha,4343
vcp=u,8576 skd=u,4348
vcp=ukza,8598 skd=ukza,4358
vcp=uKa,8605;uKa,8606 skd=uKa,4362;uKa,4363
vcp=uca,8633 skd=uca,4384
vcp=uCa,8703;uCa,8704 skd=ucCa,4406;ucCa,4407 (*)
vcp=ujJa,8722 skd=udJa,4713;ujJa,4431 (*)
vcp=uWa,8729 skd=uWa,4441
vcp=uqa,8730 skd=uqa,4442
vcp=udapa,9095 skd=udapa,4642
vcp=uDrasa,9353;uDrasa,9354 skd=uDrasa,4811;uDrasa,4812
vcp=unda,9355 skd=unda,4813
vcp=ubja,10001 skd=ubja,5103
vcp=uBa,10003 skd=uBa,5104
vcp=? skd=umBa,5120
vcp=ura,10027 skd=ura,5122
vcp=uras,10045 skd=?
vcp=uruzya,10073 skd=?
vcp=urja,10081 skd=?
vcp=urdda,10084 skd=?
vcp=urva,10086 skd=urvva,5163 (*)
vcp=ula,10103 skd=ula,5171
vcp=ulaqa,10105 skd=?
vcp=uza,10161;uza,10162 skd=uza,5211;uza,5212
vcp=uzas,10163 skd=?
vcp=uha,10223 skd=uha,5262
vcp=Una,10240 skd=Una,5274
vcp=Uya,10247 skd=Uya,5280
vcp=Urjja,10258 skd=Urjja,5291
vcp=UrRRu,10274 skd=UrRu,5301 (*)
vcp=Uza,10344 skd=Uza,5333
vcp=Uha,10356 skd=Uha,5343
vcp=f,10364;f,10365;f,10366 skd=f,5346;f,5347;f,5348;f,5350
vcp=? skd=fkza,5354
vcp=fc,10395 skd=fca,5363 (*)
vcp=fcCa,10403 skd=fcCa,5365
vcp=fja,10405;fja,10406 skd=fja,5367;fja,5368
vcp=fRa,10423 skd=fRa,5374
vcp=fta,10441 skd=fta,5385
vcp=fDa,10509 skd=fDa,5404
vcp=fnPa,10512 skd=?
vcp=fPa,10513 skd=fPa,5405
vcp=fSa,10520 skd=fSa,5410
vcp=fza,10524 skd=fza,5412
vcp=F,10573 skd=F,5431
vcp=eja,10768;eja,10769 skd=eja,5527;eja,5528
vcp=eWa,10774 skd=eWa,5529
vcp=eDa,10793 skd=eDa,5550
vcp=elA,10813 skd=elA,5571
vcp=ez,10831 skd=eza,5577 (*)
vcp=oKa,10941 skd=oKa,5638
vcp=oja,10948 skd=oja,5642
vcp=oRa,10959 skd=oRa,5650
vcp=olaja,10973 skd=olaja,5660
vcp=olaqa,10974 skd=olaqa,5661
vcp=kaka,11229;kaka,11230 skd=kaka,5755;kaka,5756
vcp=kakka,11253 skd=kakka,5770
vcp=kakKa,11258 skd=kakKa,5773
vcp=kaKa,11282 skd=kaKa,5786
vcp=kaga,11284 skd=kaga,5788
vcp=kaca,11318;kaca,11319;kaca,11320 skd=kaca,5825;kaca,5826;kaca,5827
vcp=kaja,11359 skd=kaja,5865
vcp=kawa,11383;kawa,11384;kawa,11385;kawa,11386 skd=kawa,5891;kawa,5892;kawa,5893
vcp=kaWa,11477;kaWa,11478;kaWa,11479 skd=kaWa,5983;kaWa,5984;kaWa,5985
vcp=kaqa,11495;kaqa,11496;kaqa,11497 skd=kaqa,6004;kaqa,6005;kaqa,6006
vcp=kaqqa,11508 skd=kaqqa,6016
vcp=kaRa,11509;kaRa,11510;kaRa,11511 skd=kaRa,6017;kaRa,6018;kaRa,6019
vcp=kaRqU,11601 skd=?
vcp=katTa,11630 skd=katTa,6126
vcp=katra,11632 skd=katra,6127
vcp=kaTa,11634 skd=kaTa,6129
vcp=kada,11657;kada,11658 skd=kada,6140;kada,6141
vcp=kadqa,11690 skd=kadqa,6169
vcp=kana,11700 skd=kana,6176
vcp=kapa,11816;kapa,11817 skd=kapa,6268;kapa,6269
vcp=kaba,11950 skd=kaba,6362
vcp=kama,11956;kama,11957 skd=kama,6368
vcp=kamba,11997 skd=kamba,6399
vcp=karka,12193 skd=karka,6555
vcp=? skd=karjja,6605
vcp=karRRa,12238 skd=karR,6606 (*)
vcp=kartta,12326 skd=kartta,6662
vcp=karttra,12332 skd=kartra,6672 (*)
vcp=kardda,12334 skd=kardda,6674
vcp=karba,12364 skd=karbba,6700 (*)
vcp=karva,12438 skd=karvva,6749 (*)
vcp=kala,12455;kala,12456;kala,12457 skd=kala,6772;kala,6773;kala,6774
vcp=kalla,12616 skd=kalla,6923
vcp=kava,12620 skd=kava,6927
vcp=kaSa,12669 skd=kaSa,6964
vcp=kaza,12689 skd=kaza,6982
vcp=kasa,12708;kasa,12709;kasa,12710 skd=kasa,7001;kasa,7002;kasa,7003
vcp=kAkza,12824 skd=kAkza,7110
vcp=kAca,12836 skd=?
vcp=kAla,13281 skd=kAla,7441
vcp=kASa,13477 skd=kASa,7569
vcp=kAsa,13558 skd=kAsa,7624
vcp=ki,13581 skd=ki,7648
vcp=kiwa,13621 skd=kiwa,7682
vcp=kiwakiwAya,13622 skd=?
vcp=kita,13632;kita,13633 skd=kita,7693;kita,7694
vcp=kiroqAwa,13685 skd=?
vcp=kila,13691;kila,13692 skd=kila,7743;kila,7744
vcp=kizka,13713 skd=kizka,7763
vcp=kIwa,13732 skd=kIwa,7784
vcp=kIla,13759 skd=kIla,7811
vcp=ku,13770;ku,13771;ku,13772 skd=ku,7822;ku,7823;ku,7824
vcp=kuka,13775 skd=kuk,7827 (*)
vcp=kuca,13812 skd=kuca,7865;kuca,7866;kuca,7867
vcp=kuja,13825 skd=kuja,7880
vcp=kuwa,13854;kuwa,13855;kuwa,13856;kuwa,13857 skd=kuwa,7906;kuwa,7907;kuwa,7908
vcp=kuwumba,13895 skd=kuwumba,7936
vcp=kuwwa,13900;kuwwa,13901 skd=kuwwa,7943;kuwwa,7944
vcp=kuWa,13915;kuWa,13916 skd=kuWa,7956;kuWa,7957
vcp=kuqa,13929;kuqa,13930;kuqa,13931;kuqa,13932 skd=kuqa,7971;kuqa,7972;kuqa,7973;kuqa,7974
vcp=kuRa,13942;kuRa,13943 skd=kuRa,7987;kuRa,7988
vcp=kuta,13983 skd=kut,8017 (*)
vcp=kutsa,13998 skd=kutsa,8032
vcp=kuTa,14005;kuTa,14006 skd=kuTa,8038;kuTa,8039
vcp=kuda,14010 skd=?
vcp=kudra,14019 skd=kudra,8047
vcp=kunca,14037 skd=kunca,8059
vcp=kunTa,14049 skd=kunTa,8067
vcp=kupa,14060;kupa,14061;kupa,14062 skd=kupa,8080;kupa,8081;kupa,8082
vcp=kuba,14078 skd=kuba,8093
vcp=kuBa,14092 skd=?
vcp=kumAra,14097 skd=kumAra,8100
vcp=kumAla,14119 skd=kumAla,8112
vcp=kura,14194 skd=kura,8164
vcp=kurdda,14247 skd=kurdda,8212
vcp=kula,14255 skd=kula,8218
vcp=kuSa,14399;kuSa,14400 skd=kuSa,8332;kuSa,8333
vcp=kuza,14444 skd=kuza,8366
vcp=kuzuBa,14451 skd=?
vcp=kusa,14474 skd=kusa,8390;kusa,8391
vcp=kusma,14513 skd=kusma,8418
vcp=kuha,14514 skd=kuha,8419
vcp=kU,14534;kU,14535 skd=kU,8445;kU,8446
vcp=kUja,14540 skd=kUja,8451
vcp=kUwa,14542;kUwa,14543 skd=kUwa,8453;kUwa,8454
vcp=kUqa,14560 skd=kUqa,8472
vcp=kURa,14562;kURa,14563 skd=kURa,8474;kURa,8475
vcp=kUpa,14568 skd=kUpa,8480
vcp=kUrdda,14588 skd=kUrdda,8497
vcp=kUla,14600 skd=kUla,8507
vcp=kf,14621;kf,14622;kf,14623 skd=kf,8524;kf,8525;kf,8526
vcp=kfta,14640;kfta,14641;kfta,14642 skd=kft,8542;kft,8543 (*)
vcp=kfpa,14737;kfpa,14738;kfpa,14739 skd=kfpa,8604;kfpa,8605;kfpa,8606
vcp=kfva,14777 skd=kfva,8640
vcp=kfSa,14779 skd=kfSa,8642
vcp=kfza,14789;kfza,14790 skd=kfza,8653;kfza,8654
vcp=kF,14924;kF,14925;kF,14926 skd=kF,8760;kF,8761;kF,8762
vcp=kFta,14927 skd=kFt,8763 (*)
vcp=kx,15703 skd=?
vcp=keta,14940 skd=keta,8779
vcp=kepa,14972 skd=kepa,8799
vcp=kela,14980 skd=kela,8806
vcp=kelA,14982 skd=?
vcp=keva,15000 skd=keva,8821
vcp=kE,15081 skd=kE,8887
vcp=knaTa,15429 skd=knaTa,9159
vcp=knasa,15430;knasa,15431 skd=knasa,9160;knasa,9161
vcp=knUya,15432 skd=knUya,9162
vcp=kmara,15433 skd=kmara,9163
vcp=kraMSa,15436 skd=?
vcp=kraTa,15463;kraTa,15464 skd=kraTa,9182;kraTa,9183;kraTa,9184;kraTa,9185
vcp=krada,15468;krada,15469 skd=krada,9188;krada,9189
vcp=kranda,15470 skd=kranda,9190
vcp=krapa,15473 skd=krapa,9194
vcp=krama,15474 skd=krama,9195;krama,9196
vcp=krI,15567 skd=krI,9257
vcp=krIqa,15569 skd=krIqa,9258
vcp=kruqa,15589 skd=?
vcp=kruTa,15590 skd=?
vcp=kruDa,15591 skd=kruDa,9273
vcp=krunca,15594 skd=krunca,9275
vcp=krunTa,15595 skd=krunTa,9276
vcp=kruSa,15598 skd=kruSa,9277
vcp=klaTa,15673 skd=klaTa,9337
vcp=klada,15674;klada,15675;klada,15676 skd=klada,9338;klada,9339;klada,9340
vcp=klapa,15677 skd=?
vcp=klama,15678;klama,15679 skd=klama,9341;klama,9342
vcp=klava,15683 skd=klava,9345
vcp=klida,15686;klida,15687 skd=klida,9347;klida,9348
vcp=kliSa,15691;kliSa,15692 skd=kliSa,9351;kliSa,9352
vcp=klIba,15701 skd=?
vcp=? skd=klIva,9358
vcp=? skd=kleSa,9366
vcp=kvaRa,15718 skd=kvaRa,9375
vcp=kvaTa,15721 skd=kvaTa,9379
vcp=kvela,15728 skd=kvela,9384
vcp=kzaja,15730;kzaja,15731;kzaja,15732 skd=kzaja,9387;kzaja,9388;kzaja,9389
vcp=kzaRa,15733 skd=kzaRa,9390
vcp=kzada,15781 skd=kzada,9425
vcp=kzapa,15785;kzapa,15786 skd=kzapa,9427;kzapa,9428
vcp=kzama,15797;kzama,15798 skd=kzama,9437;kzama,9438
vcp=kzara,15822 skd=kzara,9452
vcp=kzala,15827 skd=kzala,9457;kzala,9458
vcp=kzi,15873;kzi,15874;kzi,15875 skd=kzi,9499;kzi,9500;kzi,9501
vcp=kziRa,15877 skd=kziRa,9503
vcp=kzipa,15904;kzipa,15905 skd=kzipa,9526;kzipa,9527
vcp=kziva,15924;kziva,15925 skd=kziva,9544;kziva,9545
vcp=kzI,15926 skd=kzI,9546
vcp=kzIja,15927 skd=kzIja,9547
vcp=kzIba,15932 skd=kzIba,9552
vcp=kzIva,16003 skd=kzIva,9615;kzIva,9616
vcp=kzu,16004 skd=kzu,9618
vcp=kzuda,16013;kzuda,16014 skd=kzuda,9630
vcp=kzuD,16091 skd=kzuDa,9713 (*)
vcp=kzupa,16100 skd=kzupa,9723
vcp=kzuBa,16104 skd=kzuBa,9729;kzuBa,9730
vcp=kzumpa,16111 skd=?
vcp=kzura,16112 skd=kzura,9735
vcp=kzeva,16182 skd=?
vcp=kzE,16183 skd=kzE,9825
vcp=kzRu,16221 skd=kzRu,9868
vcp=kzmAya,16229 skd=kzmAya,9878
vcp=kzmIla,16230 skd=kzmIla,9881
vcp=kzviqa,16231 skd=kzviqa,9882
vcp=kzvida,16232;kzvida,16233 skd=kzvida,9884;kzvida,9885;kzvida,9886
vcp=kzvela,16236 skd=kzvela,9893
vcp=KakKa,16243 skd=KakKa,9900
vcp=Kaca,16264;Kaca,16265 skd=Kaca,9917;Kaca,9918
vcp=Kaja,16270;Kaja,16271 skd=Kaja,9922;Kaja,9923
vcp=Kawa,16294 skd=Kawa,9945
vcp=Kawwa,16302 skd=Kawwa,9952
vcp=Kaqa,16317;Kaqa,16318 skd=Kaqa,9968;Kaqa,9969
vcp=Kada,16372 skd=Kada,10017
vcp=Kana,16389 skd=Kana,10030
vcp=Kamba,16405 skd=Kamba,10045
vcp=Karja,16452 skd=Karjja,10091 (*)
vcp=Kardda,16461 skd=Kardda,10101
vcp=Karba,16465 skd=Karbba,10105 (*)
vcp=? skd=Karvva,10111
vcp=Kala,16472 skd=Kala,10116
vcp=Kava,16508 skd=Kava,10144
vcp=Kaza,16516 skd=Kaza,10152
vcp=KAda,16553 skd=KAda,10180
vcp=Kiwa,16582 skd=Kiwa,10203
vcp=Kida,16583;Kida,16584 skd=Kida,10204;Kida,10205
vcp=Ku,16596 skd=Ku,10212
vcp=Kuja,16598 skd=Kuja,10214
vcp=Kuqa,16600;Kuqa,16601;Kuqa,16602 skd=Kuqa,10216;Kuqa,10217;Kuqa,10218
vcp=Kuda,16604 skd=?
vcp=Kura,16605 skd=Kura,10219
vcp=Kurdda,16615 skd=Kurdda,10229
vcp=? skd=KUrdda,10234
vcp=Kewa,16624 skd=Kewa,10239
vcp=Keqa,16629 skd=Keqa,10249
vcp=Kela,16634 skd=Kela,10253
vcp=KelA,16636 skd=?
vcp=Keva,16639 skd=Keva,10258
vcp=KE,16641 skd=KE,10260
vcp=Kowa,16645;Kowa,16646 skd=Kowa,10262;Kowa,10263
vcp=Koqa,16648;Koqa,16649 skd=Koqa,10266;Koqa,10267
vcp=Kora,16652 skd=Kora,10270
vcp=Kola,16654 skd=Kola,10272
vcp=KyA,16659 skd=KyA,10277
vcp=gagGa,16693 skd=gagGa,10290
vcp=gaja,16719;gaja,16720;gaja,16721 skd=gaja,10303;gaja,10304
vcp=gaqa,16780;gaqa,16781 skd=gaqa,10352;gaqa,10353
vcp=gaRa,16796 skd=gaRa,10369
vcp=gada,16923;gada,16924 skd=gada,10448;gada,10449
vcp=gadgada,16942 skd=?
vcp=gaDa,16948 skd=?
vcp=ganDa,16955 skd=ganDa,10473
vcp=gama,17098 skd=gama,10610
vcp=gamba,17105 skd=gamba,10617
vcp=garjja,17165;garjja,17166 skd=garjja,10658;garjja,10659
vcp=gardda,17177 skd=gardda,10670
vcp=gardDa,17187 skd=gardDa,10681
vcp=garba,17190;garba,17191 skd=garbba,10684;garbba,10685 (*)
vcp=garva,17248 skd=garvva,10717 (*)
vcp=garha,17252;garha,17253 skd=garha,10721;garha,10722
vcp=gala,17257;gala,17258 skd=gala,10728;gala,10729
vcp=galBa,17289 skd=galBa,10748
vcp=galha,17295 skd=galha,10753
vcp=gaveza,17331 skd=gaveza,10774
vcp=gaha,17345 skd=gaha,10783
vcp=gA,17350;gA,17351 skd=gA,10790;gA,10791
vcp=gAtra,17384 skd=gAtra,10815
vcp=gADa,17403 skd=gADa,10825
vcp=gAha,17476 skd=gAha,10876
vcp=gu,17575;gu,17576 skd=gu,10935;gu,10936
vcp=guja,17593;guja,17594;guja,17595 skd=guja,10957;guja,10958;guja,10959
vcp=guWa,17603 skd=guWa,10968
vcp=guqa,17604;guqa,17605 skd=guqa,10969;guqa,10970
vcp=guRa,17642 skd=guRa,10999
vcp=guda,17702 skd=guda,11038
vcp=gudra,17714 skd=gudra,11045
vcp=guDa,17715;guDa,17716;guDa,17717 skd=guDa,11046;guDa,11047;guDa,11048
vcp=gunPa,17723 skd=gunPa,11055
vcp=gupa,17724;gupa,17725;gupa,17726;gupa,17727 skd=gupa,11056;gupa,11057;gupa,11058;gupa,11059
vcp=guPa,17735 skd=guPa,11067
vcp=gumPa,17737 skd=?
vcp=gura,17741;gura,17742 skd=gura,11071;gura,11072
vcp=gurdda,17774;gurdda,17775 skd=gurdda,11091;gurdda,11092
vcp=gurva,17776 skd=gurvva,11093 (*)
vcp=guha,17798 skd=guha,11113
vcp=gU,17822 skd=gU,11131
vcp=gUra,17848;gUra,17849 skd=gUra,11155;gUra,11156
vcp=gUrdda,17852 skd=gUrdda,11158;gUrdda,11159
vcp=gf,17855 skd=gf,11162
vcp=gfja,17856;gfja,17857 skd=gfja,11163;gfja,11164
vcp=gfDa,17866 skd=gfDa,11169
vcp=gfha,17886 skd=gfha,11181
vcp=gF,17961;gF,17962;gF,17963 skd=gF,11233;gF,11234;gF,11235
vcp=geda,17964 skd=geda,11239
vcp=geva,17967 skd=geva,11243
vcp=geza,17968 skd=geza,11244
vcp=gE,17977 skd=gE,11251
vcp=goDA,18064 skd=?
vcp=goma,18160 skd=goma,11382
vcp=gozwa,18281 skd=gozwa,11461
vcp=graTa,18421 skd=graTa,11537
vcp=granTa,18426 skd=granTa,11539
vcp=grasa,18451;grasa,18452 skd=grasa,11566;grasa,11567
vcp=graha,18461;graha,18462 skd=graha,11569;graha,11570
vcp=gruca,18604 skd=gruca,11648
vcp=glasa,18613 skd=glasa,11653
vcp=glaha,18615 skd=glaha,11655
vcp=gluca,18622 skd=gluca,11661
vcp=glunca,18624 skd=gluYca,11662 (*)
vcp=glepa,18625 skd=glepa,11663
vcp=gleva,18626 skd=gleva,11665
vcp=gleza,18627 skd=gleza,11666
vcp=glE,18628 skd=glE,11667
vcp=GagGa,18633 skd=GagGa,11671
vcp=Gawa,18634;Gawa,18635;Gawa,18637 skd=Gawa,11672;Gawa,11673;Gawa,11674
